Epoch	Sell	Buy	Hold	AverageEpProfit	StdEpProfit	MaxEpProfit	MinEpProfit	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpProfit	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
41	229.0	104.0	0.0	-1276.8462	7634.3926	10062.0	-10841.0	-204.43109	724.41064	903.99	-1107.258	601.516	0.0	601.516	601.516	84.38461	7822.0	111.0	40999	-47.70234	234.0775	1815.4407	-538.3484	46.037113	2619.7622	259.71621203422546
42	228.0	105.0	0.0	2421.0	6961.385	9702.0	-10304.0	144.2843	664.90564	852.466	-1056.63	601.40607	6.1035156e-05	601.406	601.406	97.6	7822.0	111.0	41999	-40.35109	235.75072	1879.7767	-536.3385	38.653744	2665.4614	266.3772599697113
43	228.0	105.0	0.0	2668.3635	9542.502	18330.0	-10675.0	174.47827	927.43396	1728.361	-1095.88	601.40607	6.1035156e-05	601.406	601.406	92.818184	7822.0	111.0	42999	-30.901218	238.35281	1873.3481	-529.9862	29.195019	2703.2534	272.9090139865875
44	229.0	104.0	0.0	5609.6665	2438.3042	8898.0	391.0	438.23187	255.44626	790.968	-100.776	601.516	0.0	601.516	601.516	111.0	7822.0	111.0	43999	-25.251104	239.7064	1945.9879	-532.64026	23.520346	2775.7014	280.19336700439453
45	230.0	103.0	0.0	5613.0	6381.537	13988.0	-10063.0	462.04675	621.9784	1315.374	-1033.665	638.916	0.0	638.916	638.916	103.55556	8196.0	111.0	44999	-18.328465	241.3528	1921.8134	-545.4433	16.583233	2768.2043	286.8295018672943
46	230.0	103.0	0.0	5750.5557	1955.8641	8989.0	2753.0	456.5461	205.07816	809.724	137.35	638.916	0.0	638.916	638.916	111.0	8196.0	111.0	45999	-10.408703	245.81395	1990.0587	-536.92346	8.669108	2883.0315	293.1719238758087
47	228.0	105.0	0.0	6850.4	6447.354	13436.0	-10241.0	584.5565	631.33905	1289.654	-1052.272	601.40607	6.1035156e-05	601.406	601.406	104.3	7822.0	111.0	46999	-2.8419878	244.28885	1965.5016	-544.12555	1.0797786	2814.1028	299.0232539176941
48	228.0	105.0	0.0	-3507.9167	7240.676	8082.0	-10766.0	-426.79422	683.15936	696.35	-1102.994	601.40607	6.1035156e-05	601.406	601.406	77.583336	7822.0	111.0	47999	5.0123305	248.48721	1958.1625	-544.8564	-6.7807646	3000.7324	305.61410999298096
49	265.0	68.0	0.0	1586.5	8590.494	12843.0	-10402.0	74.873924	822.12933	1191.793	-1068.57	449.69904	3.0517578e-05	449.699	449.699	88.833336	5681.0	111.0	48999	10.42701	248.76683	1898.2161	-554.96844	-12.218467	2869.923	312.1630139350891
50	228.0	105.0	0.0	-2616.6155	8555.974	11519.0	-10532.0	-333.33026	812.20215	1064.301	-1080.874	601.40607	6.1035156e-05	601.406	601.406	75.07692	7822.0	111.0	49999	14.758878	249.91554	1943.907	-534.1705	-16.573372	2944.778	318.1431119441986
51	240.0	93.0	0.0	7196.3335	5323.245	17463.0	-571.0	599.71967	545.4066	1660.141	-184.306	266.125	0.0	266.125	266.125	111.0	4350.0	111.0	50999	20.377264	251.43152	1845.9095	-536.4833	-22.20312	3018.959	324.8239800930023
52	228.0	105.0	0.0	-1020.9231	8970.461	12399.0	-10575.0	-175.98862	855.28125	1127.052	-1085.648	967.496	0.0	967.496	967.496	79.53846	11483.0	111.0	51999	28.301125	255.39459	1961.0558	-551.14496	-30.126966	3057.6448	331.97479701042175
53	229.0	104.0	0.0	1289.3	6932.8926	10480.0	-10724.0	17.778492	663.56195	947.357	-1100.78	967.6061	6.1035156e-05	967.606	967.606	97.6	11483.0	111.0	52999	32.66828	255.38754	1952.7606	-551.2111	-34.497906	3017.8486	338.2682218551636
54	225.0	108.0	0.0	-744.53845	10016.805	19740.0	-10840.0	-151.67285	967.6076	1883.638	-1111.8	606.61804	6.1035156e-05	606.618	606.618	80.07692	7894.0	111.0	53999	37.334286	258.26047	1914.8508	-543.0396	-39.15579	3108.913	345.4059979915619
55	228.0	105.0	0.0	1830.9	8412.479	13811.0	-10232.0	87.66588	801.0369	1274.9	-1052.131	967.496	0.0	967.496	967.496	90.9	11483.0	111.0	54999	40.78764	260.63333	1843.7715	-551.80743	-42.61305	3204.2683	352.3247969150543
56	228.0	105.0	0.0	1489.0	8632.104	11183.0	-10494.0	53.837765	816.1553	998.863	-1072.09	601.40607	6.1035156e-05	601.406	601.406	88.333336	7822.0	111.0	55999	43.21275	261.6415	1943.5305	-557.2675	-45.03722	3216.71	358.9933907985687
57	228.0	105.0	0.0	1854.6364	9510.514	9508.0	-10944.0	93.50564	902.3421	854.148	-1121.474	967.496	0.0	967.496	967.496	86.27273	11483.0	111.0	56999	46.562435	263.96838	1968.6722	-549.4964	-48.386204	3265.557	366.2233409881592
